aircraftRegistration	flightNumber	airlineCode_iata	airlineCode_icao	jointFlightNumber	origin_iata	origin_icao	via_iata	via_icao	destination_iata	destination_icao	aircraft_iata	aircraft_icao	flightStatusCode	scheduledDateTime	aircraftParkingPosition	baggageClaimUnit	airlineName	originName	viaName	aircraftTerminal
A6EOS	EK 012	EK	UAE	QF 8012	LGW	EGKK	None	None	DXB	OMDB	388	A388	EST	2024-10-10T20:00:00	D04	1	Emirates	London Gatwick	None	3
A6EWD	EK 840	EK	UAE	"QF 8840	AC 7582	UA 6597"	BAH	OBBI	None	None	DXB	OMDB	77L	B77L	EST	2024-10-10T20:00:00	A04	3	Emirates	Bahrain	None	3
A6FET	FZ 144	FZ	FDB	EK 2057	AMM	OJAI	None	None	DXB	OMDB	73H	B738	EST	2024-10-10T20:00:00	E07L	1	Flydubai	Amman	None	2
B6535	3U 3781	3U	CSC	None	INC	ZLIC	None	None	DXB	OMDB	332	A332	EST	2024-10-10T19:55:00	C57	3	Sichuan Airlines	Yinchuan	None	1
None	6E 1463	6E	IGO	None	DEL	VIDP	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T19:50:00	C54L	5	IndiGo	New Delhi	None	1
A6FEG	FZ 618	FZ	FDB	EK 2166	JIB	HDAM	None	None	DXB	OMDB	73H	B738	EST	2024-10-10T19:50:00	E12R	3	Flydubai	Djibouti	None	2
HZFAU	F3 509	F3	FAD	None	RUH	OERK	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T19:50:00	C64	1	Flyadeal	Riyadh	None	1
VTBXR	IX 173	IX	AXB	None	STV	VASU	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T19:45:00	E09L	4	Air India Express	Surat	None	2
A6EVD	EK 212	EK	UAE	None	IAH	KIAH	None	None	DXB	OMDB	388	A388	EST	2024-10-10T19:45:00	F06	11	Emirates	Houston	None	3
None	XY 505	XY	KNE	None	JED	OEJN	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T19:45:00	C53R	2	Flynas	Jeddah	None	1
CFVLU	AC 056	AC	ACA	None	YYZ	CYYZ	None	None	DXB	OMDB	789	B789	DLU	2024-10-10T19:45:00	F07	6	Air Canada	Toronto	None	3
A6EEU	EK 202	EK	UAE	None	JFK	KJFK	None	None	DXB	OMDB	388	A388	EST	2024-10-10T19:45:00	F18	9	Emirates	New York	None	3
A6EVK	EK 226	EK	UAE	None	SFO	KSFO	None	None	DXB	OMDB	388	A388	EST	2024-10-10T19:40:00	A03	3	Emirates	San Francisco	None	3
A6MAX	FZ 752	FZ	FDB	EK 2225	SAW	LTFJ	None	None	DXB	OMDB	7M8	B38M	DLU	2024-10-10T19:35:00	C34	5	Flydubai	Istanbul Sabiha	None	2
A6FEV	FZ 926	FZ	FDB	None	HAS	OEHL	None	None	DXB	OMDB	7S8	B738	EST	2024-10-10T19:35:00	E04	6	Flydubai	Hail	None	2
A6EUK	EK 216	EK	UAE	None	LAX	KLAX	None	None	DXB	OMDB	388	A388	EST	2024-10-10T19:30:00	D09	2	Emirates	Los Angeles	None	3
APBOK	PK 223	PK	PIA	None	LYP	OPFA	None	None	DXB	OMDB	32A	A320	EST	2024-10-10T19:30:00	C51R	6	Pakistan International Airlines	Faisalabad	None	1
None	XY 203	XY	KNE	None	RUH	OERK	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T19:30:00	C50	7	Flynas	Riyadh	None	1
HZASAH	SV 550	SV	SVA	"CZ 7896	KE 6684"	JED	OEJN	None	None	DXB	OMDB	32Q	A21N	EST	2024-10-10T19:30:00	C48	2	Saudia	Jeddah	None	1
None	PA 110	PA	ABQ	None	KHI	OPKC	None	None	DXB	OMDB	320	A320	EST	2024-10-10T19:25:00	C55L	8	Airblue	Karachi	None	1
A6FQD	FZ 222	FZ	FDB	EK 2077	NJF	ORNI	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T19:25:00	E09R	5	Flydubai	Najaf	None	2
A6FKP	FZ 1824	FZ	FDB	None	IKA	OIIE	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T19:20:00	C21	8	Flydubai	Tehran	None	3
A6EQG	EK 238	EK	UAE	None	BOS	KBOS	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T19:20:00	B18L	12	Emirates	Boston	None	3
A6FES	FZ 308	FZ	FDB	EK 2178	KBL	OAKB	None	None	DXB	OMDB	7S8	B738	EST	2024-10-10T19:20:00	E05	1	Flydubai	Kabul	None	2
A6FMT	FZ 018	FZ	FDB	None	DOH	OTHH	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T19:20:00	E11R	2	Flydubai	Doha	None	2
A6EPO	EK 044	EK	UAE	QF 8044	FRA	EDDF	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T19:15:00	A01	13	Emirates	Frankfurt	None	3
A6FKJ	FZ 212	FZ	FDB	EK 2073	BGW	ORBI	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T19:15:00	E11L	3	Flydubai	Baghdad	None	2
A6EVL	EK 008	EK	UAE	QF 8008	LHR	EGLL	None	None	DXB	OMDB	388	A388	DLU	2024-10-10T19:10:00	A08	7	Emirates	London Heathrow	None	3
A6EQF	EK 236	EK	UAE	None	ORD	KORD	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T19:10:00	A10	14	Emirates	Chicago	None	3
B8426	CZ 8057	CZ	CSN	3U 7123	CAN	ZGGG	None	None	DXB	OMDB	333	A333	EST	2024-10-10T19:05:00	C58	4	China Southern Airlines	Guangzhou	None	1
A6FKT	FZ 204	FZ	FDB	EK 2071	EBL	ORER	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T19:05:00	E10L	5	Flydubai	Erbil	None	2
A6FKM	FZ 060	FZ	FDB	EK 2049	KWI	OKKK	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T19:05:00	E21	4	Flydubai	Kuwait	None	2
HZAQ25	SV 560	SV	SVA	"CZ 7900	KE 6682"	RUH	OERK	None	None	DXB	OMDB	333	A333	EST	2024-10-10T19:00:00	C49	1	Saudia	Riyadh	None	1
B208P	MU 755	MU	CES	SV 6836	KMG	ZPPP	None	None	DXB	OMDB	789	B789	EST	2024-10-10T19:00:00	C59	3	China Eastern Airlines	Kunming	None	1
VTANN	AI 915	AI	AIC	None	DEL	VIDP	None	None	DXB	OMDB	788	B788	EST	2024-10-10T19:00:00	C52	5	Air India	New Delhi	None	1
HZNS86	XY 207	XY	KNE	None	RUH	OERK	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T18:55:00	C53L	4	Flynas	Riyadh	None	1
None	OV 247	OV	OMS	WY 5170	MCT	OOMS	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T18:55:00	E12L	6	SalamAir	Muscat	None	2
HL8083	KE 951	KE	KAL	"EK 3483	SV 6612"	ICN	RKSI	None	None	DXB	OMDB	789	B789	EST	2024-10-10T18:55:00	C60	7	Korean Air	Seoul Incheon	None	1
A6FEC	FZ 804	FZ	FDB	None	EAM	OENG	None	None	DXB	OMDB	7S8	B738	EST	2024-10-10T18:55:00	E06	1	Flydubai	Najran	None	2
None	XY 507	XY	KNE	None	JED	OEJN	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T18:40:00	C55R	8	Flynas	Jeddah	None	1
VTIPJ	6E 1481	6E	IGO	None	IXC	VICG	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T18:40:00	C51L	None	IndiGo	Chandigarh	None	1
A6FGC	FZ 318	FZ	FDB	EK 2356	MUX	OPMT	None	None	DXB	OMDB	7S8	B738	EST	2024-10-10T18:40:00	E27	3	Flydubai	Multan	None	2
None	J9 125	J9	JZR	None	KWI	OKKK	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T18:40:00	C43	6	Jazeera Airways	Kuwait	None	1
A6FEJ	FZ 712	FZ	FDB	EK 2201	TBS	UGTB	None	None	DXB	OMDB	73H	B738	EST	2024-10-10T18:35:00	E14	4	Flydubai	Tbilisi	None	2
N78009	UA 164	UA	UAL	None	EWR	KEWR	None	None	DXB	OMDB	772	B772	EST	2024-10-10T18:35:00	B25	4	United Airlines	Newark	None	3
A6FER	FZ 540	FZ	FDB	EK 2447	KTM	VNKT	None	None	DXB	OMDB	73H	B738	EST	2024-10-10T18:35:00	E07R	5	Flydubai	Kathmandu	None	2
HZNS85	XY 791	XY	KNE	None	MED	OEMA	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T18:30:00	C54L	2	Flynas	Medina	None	1
A6EPY	EK 230	EK	UAE	None	SEA	KSEA	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T18:30:00	B27	5	Emirates	Seattle	None	3
9VSHN	SQ 494	SQ	SIA	"NZ 3274	ET 1301"	SIN	WSSS	None	None	DXB	OMDB	359	A359	EST	2024-10-10T18:25:00	C57	8	Singapore Airlines	Singapore	None	1
None	SG 015	SG	SEJ	None	AMD	VAAH	None	None	DXB	OMDB	73H	B738	EST	2024-10-10T18:25:00	C44	3	SpiceJet	Ahmedabad	None	1
VTAXT	IX 191	IX	AXB	AI 9423	ATQ	VIAR	None	None	DXB	OMDB	73H	B738	EST	2024-10-10T18:20:00	E08	2	Air India Express	Amritsar	None	2
A6FGG	FZ 620	FZ	FDB	EK 2170	EBB	HUEN	None	None	DXB	OMDB	7S8	B738	EST	2024-10-10T18:20:00	E10R	3	Flydubai	Entebbe	None	2
A6FKH	FZ 928	FZ	FDB	None	RSI	OERS	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T18:20:00	E29	6	Flydubai	Red Sea	None	2
VTTVC	UK 201	UK	VTI	AI 6477	BOM	VABB	None	None	DXB	OMDB	32Q	A21N	EST	2024-10-10T18:15:00	C50	5	Vistara	Mumbai	None	1
None	XY 211	XY	KNE	None	RUH	OERK	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T18:15:00	C54R	6	Flynas	Riyadh	None	1
A6FKS	FZ 1938	FZ	FDB	EK 2303	IKA	OIIE	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T18:15:00	C33	3	Flydubai	Tehran	None	3
A6FEO	FZ 922	FZ	FDB	None	TIF	OETF	None	None	DXB	OMDB	73H	B738	EST	2024-10-10T18:10:00	C35	5	Flydubai	Taif	None	2
None	GF 508	GF	GFA	CX 1948	BAH	OBBI	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T18:10:00	C55L	2	Gulf Air	Bahrain	None	1
A6EQD	EK 517	EK	UAE	None	DEL	VIDP	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T18:10:00	D10	10	Emirates	New Delhi	None	3
APEDG	PA 810	PA	ABQ	None	MUX	OPMT	None	None	DXB	OMDB	32A	A320	EST	2024-10-10T18:05:00	C53R	1	Airblue	Multan	None	1
A6FEY	FZ 836	FZ	FDB	None	HOF	OEAH	None	None	DXB	OMDB	73H	B738	EST	2024-10-10T18:05:00	E07L	5	Flydubai	Al-Ahsa	None	2
A6FMG	FZ 662	FZ	FDB	EK 2183	HGA	HCMH	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T18:00:00	E01	3	Flydubai	Hargeisa	None	2
RPC8782	PR 658	PR	PAL	None	MNL	RPLL	None	None	DXB	OMDB	333	A333	EST	2024-10-10T18:00:00	C61	4	Philippine Airlines	Manila	None	1
None	MS 905	MS	MSR	SQ 6045	CAI	HECA	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T18:00:00	C45	3	EgyptAir	Cairo	None	1
A6FKD	FZ 022	FZ	FDB	EK 2015	BAH	OBBI	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T17:55:00	E16	2	Flydubai	Bahrain	None	2
VTEXH	AI 919	AI	AIC	None	BOM	VABB	None	None	DXB	OMDB	32N	A20N	EST	2024-10-10T17:55:00	C51R	5	Air India	Mumbai	None	1
9KAPG	KU 673	KU	KAC	TG 4720	KWI	OKKK	None	None	DXB	OMDB	338	A338	EST	2024-10-10T17:55:00	C41	7	Kuwait Airways	Kuwait	None	1
A6FMM	FZ 044	FZ	FDB	EK 2033	MCT	OOMS	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T17:55:00	C32	4	Flydubai	Muscat	None	2
A6FEU	FZ 336	FZ	FDB	"AC 7545	EK 2113"	KHI	OPKC	None	None	DXB	OMDB	7S8	B738	EST	2024-10-10T17:55:00	E04	1	Flydubai	Karachi	None	2
A6FKF	FZ 864	FZ	FDB	EK 2279	DMM	OEDF	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T17:50:00	E03	6	Flydubai	Dammam	None	2
A6FGB	FZ 244	FZ	FDB	EK 2432	BND	OIKB	None	None	DXB	OMDB	7S8	B738	EST	2024-10-10T17:45:00	Q08	3	Flydubai	Bandar Abbas	None	2
A6FGI	FZ 1932	FZ	FDB	None	IKA	OIIE	None	None	DXB	OMDB	7S8	B738	DLU	2024-10-10T17:45:00	C37	None	Flydubai	Tehran	None	3
A6FQA	FZ 252	FZ	FDB	EK 2083	MHD	OIMM	None	None	DXB	OMDB	7M8	B38M	DLU	2024-10-10T17:45:00	E15	1	Flydubai	Mashhad	None	2
A6FKC	FZ 1212	FZ	FDB	EK 2364	TLV	LLBG	None	None	DXB	OMDB	7M8	B38M	DLU	2024-10-10T17:45:00	C29	13	Flydubai	Tel Aviv	None	3
A6FMH	FZ 274	FZ	FDB	None	IFN	OIFM	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T17:45:00	E02	5	Flydubai	Isfahan	None	2
A6FPA	FZ 914	FZ	FDB	None	AJF	OESK	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T17:45:00	C39	4	Flydubai	Al Jouf	None	2
A6EEG	EK 928	EK	UAE	"QF 8928	CZ 7873"	CAI	HECA	None	None	DXB	OMDB	388	A388	EST	2024-10-10T17:30:00	D05	2	Emirates	Cairo	None	3
B1041	MU 245	MU	CES	SV 6832	PVG	ZSPD	None	None	DXB	OMDB	333	A333	EST	2024-10-10T17:25:00	C58	6	China Eastern Airlines	Shanghai	None	1
A6FMI	FZ 206	FZ	FDB	EK 2081	ISU	ORSU	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T17:25:00	C34	6	Flydubai	Sulaymaniyah	None	2
A6FKG	FZ 056	FZ	FDB	EK 2151	KWI	OKKK	None	None	DXB	OMDB	7M8	B38M	EST	2024-10-10T17:20:00	Q05	1	Flydubai	Kuwait	None	2
A6EGB	EK 507	EK	UAE	None	BOM	VABB	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T17:20:00	B15	5	Emirates	Mumbai	None	3
4XECB	LY 973	LY	ELY	None	TLV	LLBG	None	None	DXB	OMDB	772	B772	EST	2024-10-10T17:15:00	C64	4	El Al	Tel Aviv	None	1
VTAYD	IX 435	IX	AXB	AI 9429	COK	VOCI	None	None	DXB	OMDB	73H	B738	EST	2024-10-10T17:05:00	E09L	2	Air India Express	Kochi	None	2
A6FMQ	FZ 1836	FZ	FDB	None	WAW	EPWA	None	None	DXB	OMDB	7M8	B38M	DLU	2024-10-10T17:05:00	C18	7	Flydubai	Warsaw	None	3
A6ENG	EK 902	EK	UAE	None	AMM	OJAI	None	None	DXB	OMDB	77W	B77W	EST	2024-10-10T16:55:00	F24	4	Emirates	Amman	None	3
